SMILES,LogBCF
ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,4.29
OC(=O)c1c(Cl)cccc1Cl,0.26
OC(=O)c1c(Cl)c(Cl)ccc1Cl,0.54
[O-][N+](=O)c1cc(ccc1O)[N+]([O-])=O,0.57
OC(=O)c1cc(Cl)c(Cl)cc1,0.36
Cc1cc(ccc1SC)OP(=S)(OC)OC,2.52
ClC(Cl)(Cl)Cl,0.87
CCOP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OCC,1.99
c1c2c3ccccc3ccc2cc2ccccc21,2.41
OC(C(Cl)(Cl)Cl)(C)C,0.23
ClC1(Cl)C2(Cl)C3CC(Cl)C(Cl)C3C1(Cl)C(Cl)=C2Cl,4.353333333
"Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl |&1:1,2,4,6,8,10|",3.04
Oc1c(Cl)cc(Cl)c(Cl)c1Cl,2.3
Cc1cc(O)ccc1Cl,0.93
CCOCC,0.73
CNC(=O)CSP(=S)(OC)OC,0.2
"ClC1(Cl)[C@@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@H]54)[C@@H]3[C@]1(Cl)C(Cl)=C2Cl |o1:3,5,6,8,9,11,12,13|",3.91
Nc1[n]c[nH][n]1,0.49
CC(=O)Nc1ccc(cc1)OCC,1.48
Nc1ccccc1,0.21
NC(N)=S,0.3
COP(=O)(OC=C(Cl)Cl)OC,-0.3
O=C(Oc(c(c(ccc1)cc2)c1)c2)NC,0.95
C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1,0.45
ClC(Cl)Cl,1.11
CS(C)=O,0.6
ClC(Cl)(Cl)C(Cl)(Cl)Cl,2.71
O=CN(C)C,-0.1
Oc1c(Cc2c(Cl)c(Cl)cc(Cl)c2O)c(Cl)c(Cl)cc1Cl,2.07
c1ccccc1,0.63
CC(Cl)(Cl)Cl,0.7
COc1ccc(cc1)C(c1ccc(cc1)OC)C(Cl)(Cl)Cl,2.5
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,4.08
N(c(ccc(Nc(cccc1)c1)c2)c2)c(cccc3)c3,3.12
ClCBr,0.6
ClCCl,1.36
S=C=S,1.29
BrC(Br)Br,1.13
C=C(Cl)Cl,1.11
CC(C)(C)O,0.7
FC(F)(Cl)Cl,0.79
O=C(O)C(C)(C)C,0.36
OC(=O)C(Cl)(Cl)Cl,0.23
FC(C(F)(Cl)Cl)(Cl)Cl,1.77
FC(F)(Cl)C(F)(Cl)Cl,1.7
ClC1(Cl)C2(Cl)C3C=CC(Cl)C3C1(Cl)C(Cl)=C2Cl,3.94
