SMILES,LogKmHL
ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1.93
c1c2ccccc2c2ccc3cccc4ccc1c2c34,0.05
ClC(Cl)C(c1ccccc1Cl)c1ccc(Cl)cc1,1.65
c1c2c3ccccc3ccc2cc2c3ccccc3ccc21,0.21
Cc1cc(ccc1SC)OP(=S)(OC)OC,-0.36
ClC(Cl)(Cl)Cl,-1.19
CCOP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OCC,-0.41
c1c2c3ccccc3ccc2cc2ccccc21,0.02
ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,2.2575
C(C(C(C(C1Cl)Cl)Cl)Cl)(C1Cl)Cl,1.4925
Cc1cc(O)ccc1Cl,-1.28
O(CC)CC,-0.7
CNC(=O)CSP(=S)(OC)OC,-1.01
"ClC1(Cl)[C@@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@H]54)[C@@H]3[C@]1(Cl)C(Cl)=C2Cl |o1:3,5,6,8,9,11,12,13|",1.645
CC(=O)Nc1ccc(cc1)OCC,-0.55
Nc1ccccc1,-0.78
CNC(=O)Oc1cccc2ccccc21,-1.18
ClC(Cl)Cl,-0.76
ClC(Cl)(Cl)C(Cl)(Cl)Cl,0.76
CC(Cl)(Cl)Cl,-1.39
ClC(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,2.44
ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1.71
ClCBr,-0.74
ClCCl,-0.51
BrC(Br)Br,-0.7
C=C(Cl)Cl,-0.72
CC(C)(C)O,-1.13
ClC1(Cl)C2(Cl)C3C=CC(Cl)C3C1(Cl)C(Cl)=C2Cl,1.45
c(cccc1)(c1)C(c(cccc2)c2)(c(cccc3)c3)Cl,-0.15
O=P(Oc(c(ccc1)C)c1)(Oc(c(ccc2)C)c2)Oc(c(ccc3)C)c3,0.5
CCOP(=O)(OCC)OCC,-1.09
CCCCC(COP(=O)(OCC(CCCC)CC)OCC(CCCC)CC)CC,-0.29
CC1CC(C)(C)CC(=O)C=1,-1.29
CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,0.77
CC(=C)C=C,-0.61
CC(Cl)CCl,-1.06
ClCC(Cl)Cl,-1.01
ClC=C(Cl)Cl,-0.41
ClC(Cl)C(Cl)Cl,-0.67
CC(C)[N+]([O-])=O,-1.2
CC1(C)C2CC(CC2)C1=C,0.96
Oc(ccc(c1)C(c(ccc(O)c2)c2)(C)C)c1,0.27
CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,-0.01
O=C1c2cccc3cccc(c32)-c2ccccc21,-0.69
O=C1c2cccc(Cl)c2C(=O)c2ccccc12,-0.23
