SMILES,Kow
C=O,0.35
CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3[C@@H](O)C[C@]12C,2.19
[H][C@@]12CC[C@](O)(C(=O)COC(C)=O)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,2.1
CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,1.47
CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O,-0.4
CCC1(CC)C(=O)NC(=O)N(C)C1=O,1.15
CCC1(NC(=O)N(C)C1=O)C1=CC=CC=C1,1.69
ClCCN(CCCl)P1(=O)NCCCO1,0.63
CC(O)C(O)=O,-0.72
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO,1.94
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,1.61
C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,1.62
C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1C[C@@H](O)[C@@H]2O,2.45
[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H],4.01
ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,6.91
OC(=O)C1=C(Cl)C=CC=C1Cl,2.23
C1=CC2=CC3=CC=C4C=CC=C5C=CC(=C2C=C1)C3=C45,6.13
CCCCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1,3.16
O=C1N(C2CCC(=O)NC2=O)C(=O)C2=CC=CC=C12,0.33
COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1OC(=O)C1=CC=CC=C1)N2C,2.3
CCN(CC)C(=O)[C@H]1CN(C)[C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1,2.95
S=C1NC=NC2=C1N=CN2,0.01
CNCCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,4.9
CN(C)CCC=C1C2=CC=CC=C2CCC2=C1C=CC=C2,4.92
CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12,4.8
CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1,5.9
CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2,5.41
[H][C@]12SCC(C[N+]3=CC=CC=C3)=C(N1C(=O)[C@H]2NC(=O)CC1=CC=CS1)C([O-])=O,-1.62
NCCC1=CNC2=CC=C(O)C=C12,0.21
O=C1NC(=O)C(=O)C(=O)N1,-1.84
CC(=O)OC1=C(C=CC=C1)C(O)=O,1.19
OC(=O)C1=CC(Cl)=CC=C1Cl,2.82
[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,-1.85
CC1=CC(O)=C(C=C1)C(O)=O,2.99
CC(=O)NC1=CC(O)=C(C=C1)C(O)=O,1.62
CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,-0.93
OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(F)C(=O)NC1=O,-1.16
Cl.CN[C@@H](C)[C@H](O)C1=CC=CC=C1,-2.45
OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,-3.24
CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC,4.75
CCN(CC)CCNC(=O)C1=CC=C(N)C=C1,0.88
O=C(CCNNC(=O)C1=CC=NC=C1)NCC1=CC=CC=C1,0.87
N1C=NC2=C1C=CC=C2,1.32
BrC1=CNC(=O)NC1=O,-0.21
FC1=CNC(=O)NC1=O,-0.89
OC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,1.67
CN1[C@H]2C[C@@H](C[C@@H]1[C@H]1O[C@@H]21)OC(=O)[C@H](CO)C1=CC=CC=C1,0.98
OC(=O)C1=CC(Cl)=CC(Cl)=C1,3
NC[C@H](O)C1=CC=C(O)C(O)=C1,-1.24
CNC[C@H](O)C1=CC(O)=C(O)C=C1,-1.2
OC(=O)C1=CC=C(Cl)C(Cl)=C1,3.25
NCCC1=CN=CN1,-0.7
CN1[C@H]2CC[C@@H]1C[C@@H](C2)OC(=O)C(CO)C1=CC=CC=C1,1.83
NCCC1=CC(O)=C(O)C=C1,-0.98
COC1=CC=C(NC(C)=O)C=C1,1.03
CN(CCCl)CCCl,0.91
CCOC(N)=O,-0.15
[H][C@@]12CC[C@](O)(C(=O)COC(C)=O)[C@@]1(C)C[C@H](O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,2.4
S=P(N1CC1)(N1CC1)N1CC1,0.53
OP(O)(O)=O.[H][C@@]12OC3=C(OC)C=CC4=C3[C@@]11CCN(C)[C@H](C4)[C@]1([H])C=C[C@@H]2O,-1.4
CCC1(C(=O)NC(=O)NC1=O)C1=CCCCC1,1.77
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,1.15
