SMILES,LogWS
C=O,5.602059991
C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,1.890700398
CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3[C@@H](O)C[C@]12C,1.149219113
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,1.301029996
CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,3.045322979
CN1C(=O)NC(=O)C(CC)(CC)C1=O,3.29666519
O=P1(NCCCO1)N(CCCl)CCCl,4.602059991
CC(O)C(O)=O,6
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C)[C@H](CC[C@H]21)C(=O)CO,2.298853076
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,2.505149978
C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,2.348304863
ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,-2.259637311
OC(=O)c1c(Cl)c(Cl)ccc1Cl,3.886490725
c1c2ccccc2c2ccc3cccc4ccc1c2c34,-2.790484985
CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,1.531478917
COC(=O)[C@@H]1C2CCC(C[C@@H]1OC(=O)c1ccccc1)[N@@]2C,3.255272505
CNCCCN1c2ccccc2CCc2ccccc12,1.767897616
CN(C)CCC=C1c2ccccc2CCc2ccccc21,0.98721923
CN(C)CCCN1c2ccccc2CCc2ccccc12,1.260786669
CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc12,0.40654018
[O-][N+](=O)c1cc(Cl)c(cc1)NC(=O)c1cc(Cl)ccc1O,0.204119983
CC(=O)Oc1ccccc1C(O)=O,3.662757832
O[C@@H](CO)[C@H]1OC(=O)C(O)=C1O,5.602059991
OC(=O)c1ccc(Cl)cc1Cl,2.680788612
O=C1NC=C(F)C(=O)N1,4.045322979
[O-][N+](=O)c1cc(ccc1O)[N+]([O-])=O,3.445604203
CN1[C@@H]2C[C@H](C[C@H]1[C@@H]1O[C@@H]12)OC(=O)[C@H](CO)c1ccccc1,5
OC(=O)c1cc(Cl)cc(Cl)c1,2.167317335
OC(=O)c1cc(Cl)c(Cl)cc1,1.78604121
CN1[C@@H]2C[C@H](C[C@H]1CC2)OC(=O)C(CO)c1ccccc1,3.342422681
NCCc1ccc(O)cc1,4.017033339
CCOC(N)=O,5.681241237
C[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@]2(C#C)OC(C)=O,0.72794771
CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@]43CCC(=O)O4)[C@@H]21,1.342422681
CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,1.235528447
CCC1(C2CCCCC=2)C(=O)NC(=O)NC1=O,3.204119983
C=CCC1(CC=C)C(=O)NC(=O)NC1=O,3.257678575
[O-][N+](=O)C(Br)(CO)CO,5.397940009
NC1(CCCC1)C(O)=O,4.698970004
CC(C)(S)[C@@H](N)C(O)=O,5.045322979
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,5.079181246
OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c1ccc(Cl)cc1,1.146128036
C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,2.447158031
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CCC2=O,1.477121255
ClC(Cl)C(c1ccccc1Cl)c1ccc(Cl)cc1,-1
C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@@]43C)[C@@H]1CCC2=O,1.079181246
C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O,1.802431626
c1c2c3ccccc3ccc2cc2c3ccccc3ccc21,-2.603800653
CC(=O)Nc1cc2Cc3ccccc3-c2cc1,0.723455672
CN1CCC[C@H]1c1c[n]ccc1,6
NS(=O)(=O)c1cc(C(O)=O)c(cc1Cl)NCc1ccco1,1.863917377
NNC(=O)c1cc[n]cc1,5.146128036
CCN(CC)N=O,5.025305865
NC(=O)c1ccccc1,4.130333768
OC(=O)c1cc[n]cc1,3.716003344
