,SMILES,LogBCF
0,ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,4.29
1,OC(=O)c1c(Cl)cccc1Cl,0.26
2,OC(=O)c1c(Cl)c(Cl)ccc1Cl,0.54
3,[O-][N+](=O)c1cc(ccc1O)[N+]([O-])=O,0.57
4,OC(=O)c1cc(Cl)c(Cl)cc1,0.36
5,Cc1cc(ccc1SC)OP(=S)(OC)OC,2.52
6,ClC(Cl)(Cl)Cl,0.87
7,CCOP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OCC,1.99
8,c1c2c3ccccc3ccc2cc2ccccc21,2.41
9,OC(C(Cl)(Cl)Cl)(C)C,0.23
10,ClC1(Cl)C2(Cl)C3CC(Cl)C(Cl)C3C1(Cl)C(Cl)=C2Cl,4.353333333
11,"Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl |&1:1,2,4,6,8,10|",3.04
12,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,2.3
13,Cc1cc(O)ccc1Cl,0.93
14,CCOCC,0.73
15,CNC(=O)CSP(=S)(OC)OC,0.2
16,"ClC1(Cl)[C@@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@H]54)[C@@H]3[C@]1(Cl)C(Cl)=C2Cl |o1:3,5,6,8,9,11,12,13|",3.91
17,Nc1[n]c[nH][n]1,0.49
18,CC(=O)Nc1ccc(cc1)OCC,1.48
19,Nc1ccccc1,0.21
20,NC(N)=S,0.3
21,COP(=O)(OC=C(Cl)Cl)OC,-0.3
22,O=C(Oc(c(c(ccc1)cc2)c1)c2)NC,0.95
23,C[C@@H]1C[C@@H]([C@H](O)CC2CC(=O)NC(=O)C2)C(=O)[C@@H](C)C1,0.45
24,ClC(Cl)Cl,1.11
25,CS(C)=O,0.6
26,ClC(Cl)(Cl)C(Cl)(Cl)Cl,2.71
27,O=CN(C)C,-0.1
28,Oc1c(Cc2c(Cl)c(Cl)cc(Cl)c2O)c(Cl)c(Cl)cc1Cl,2.07
29,c1ccccc1,0.63
30,CC(Cl)(Cl)Cl,0.7
31,COc1ccc(cc1)C(c1ccc(cc1)OC)C(Cl)(Cl)Cl,2.5
32,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,4.08
33,N(c(ccc(Nc(cccc1)c1)c2)c2)c(cccc3)c3,3.12
34,ClCBr,0.6
35,ClCCl,1.36
36,S=C=S,1.29
37,BrC(Br)Br,1.13
38,C=C(Cl)Cl,1.11
39,CC(C)(C)O,0.7
40,FC(F)(Cl)Cl,0.79
41,O=C(O)C(C)(C)C,0.36
42,OC(=O)C(Cl)(Cl)Cl,0.23
43,FC(C(F)(Cl)Cl)(Cl)Cl,1.77
44,FC(F)(Cl)C(F)(Cl)Cl,1.7
45,ClC1(Cl)C2(Cl)C3C=CC(Cl)C3C1(Cl)C(Cl)=C2Cl,3.94
46,ClC(c1ccccc1)(c1ccccc1)c1ccccc1,2.63
47,OC(=O)C(O)(c1ccccc1)c1ccccc1,0.26
48,C1C=CC2C3CC(C=C3)C21,2.34
49,CCOP(=O)(OCC)OCC,0.11
50,CCCCC(COP(=O)(OCC(CCCC)CC)OCC(CCCC)CC)CC,1.7
51,O=P(OCCOCCCC)(OCCOCCCC)OCCOCCCC,0.76
52,CC1CC(C)(C)CC(=O)C=1,0.3
53,O(OC(C)(C)C)C(CCC(OOC(C)(C)C)(C)C)(C)C,3.48
54,CC(=C)C=C,1.3
55,CC(Cl)CCl,0.85
56,ClCC(Cl)Cl,0.7
57,ClC=C(Cl)Cl,1.2
58,BrC(Br)C(Br)Br,0.74
59,ClC(Cl)C(Cl)Cl,1.11
60,CC(C)[N+]([O-])=O,0.92
61,CC1(C)C2CC(CC2)C1=C,2.98
62,CC(C)(c1cc(Br)c(O)c(Br)c1)c1cc(Br)c(O)c(Br)c1,2.43
63,CC(C)(c1ccc(O)cc1)c1ccc(O)cc1,1.64
64,CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,2.62
65,N(=O)(=O)c(c(c(N(=O)(=O))c(c1N(=O)(=O))C(C)(C)C)C)c1C,3.61
66,Nc1ccc2ccccc2c1S(O)(=O)=O,0.78
67,[Cl-].CCN(CC)c1cc2[o+]c3cc(ccc3c(-c3ccccc3C(O)=O)c2cc1)N(CC)CC,0.23
68,O=C1c2cccc3cccc(c32)-c2ccccc21,2.09
69,O=C1c2cccc(Cl)c2C(=O)c2ccccc12,2.3
70,Nc1cccc2c1C(=O)c1ccccc1C2=O,1.98
71,[O-][N+](=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,2.74
72,C1Cc2cccc3cccc1c23,2.88
73,Cc1c(Cl)cccc1[N+]([O-])=O,1.99
74,CC(=C)[C@H]1Cc2c3O[C@@H]4COc5cc(OC)c(cc5[C@@H]4C(=O)c3ccc2O1)OC,1.41
75,c1ccccc1-c1ccccc1-c1ccccc1,3.48
76,CCc1cc2c(cc1)C(=O)c1ccccc1C2=O,0.98
77,O=C(N(N=C1C)c(c(cc(S(=O)(=O)O)c2Cl)Cl)c2)C1,1.51
78,CCCCOC(=O)c1ccccc1C(=O)OCCCC,2.22
79,[Br-].[Br-].C1C[n+]2ccccc2-c2cccc[n+]21,0.76
80,c1cc2ccccc2c2ccccc21,3.4
81,c(c(c(c(c1Br)Br)Br)Br)(c1Br)CC,2.52
82,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,1.21
83,O=NN(c1ccccc1)c1ccccc1,1.33
84,C1c2ccccc2-c2ccccc21,2.72
85,c1cccc2[nH]c3ccccc3c21,2.23
86,O=C(O)Cc(c(c(ccc1)cc2)c1)c2,0.47
87,Nc1cc2cc(cc(O)c2cc1)S(O)(=O)=O,0.38
88,COc1c(Cl)cc(Cl)cc1Cl,2.86
89,Clc1c(Cl)cccc1Cl,2.82
90,Oc1c(Cl)cccc1Cl,1.08
