,SMILES,HL,LogHL
0,C=O,3.37e-07,-6.472370099
1,CC(O)C(O)=O,8.13e-08,-7.089909454
2,ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,8.32e-06,-5.079876674
3,OC(=O)C1=C(Cl)C(Cl)=CC=C1Cl,2.12e-08,-7.673664139
4,C1=CC2=CC3=CC=C4C=CC=C5C=CC(=C2C=C1)C3=C45,4.57e-07,-6.3400838
5,COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1OC(=O)C1=CC=CC=C1)N2C,4.24e-11,-10.37263414
6,OC1=C(C=C(Cl)C=C1)C(=O)NC1=CC=C(C=C1Cl)[N+]([O-])=O,4e-12,-11.39794001
7,CC(=O)OC1=C(C=CC=C1)C(O)=O,1.3e-09,-8.886056648
8,OC1=C(C=C(C=C1)[N+]([O-])=O)[N+]([O-])=O,8.6e-08,-7.065501549
9,CN(CCCl)CCCl,2.91e-06,-5.536107011
10,CCOC(N)=O,6.43e-08,-7.191789027
11,OCC(Br)(CO)[N+]([O-])=O,1.33e-11,-10.87614836
12,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,1.7e-11,-10.76955108
13,ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=C(Cl)C=CC=C1,8.17e-06,-5.087777943
14,C1=CC2=CC=C3C=C4C(C=CC5=CC=CC=C45)=CC3=C2C=C1,1.41e-07,-6.850780887
15,CCN(CC)N=O,3.63e-06,-5.440093375
16,NC(=O)C1=CC=CC=C1,2.45e-10,-9.610833916
17,COP(=S)(OC)OC1=CC(C)=C(SC)C=C1,1.46e-06,-5.835647144
18,[O-][N+](=O)OCC(CO[N+]([O-])=O)O[N+]([O-])=O,8.66e-08,-7.062482108
19,CC(C)OP(F)(=O)OC(C)C,9.11e-06,-5.040481623
20,ClC(Cl)(Cl)Cl,0.0276,-1.559090918
21,CCOP(=S)(OCC)OC1=CC=C(C=C1)[N+]([O-])=O,2.98e-07,-6.525783736
22,CC1=C2CCC3=C4C=CC5=CC=CC=C5C4=CC(C=C1)=C23,5.24e-06,-5.280668713
23,C1=CC2=C(C=C1)C=C1C(C=CC3=C1C=CC=C3)=C2,1.2e-05,-4.920818754
24,CCOP(=S)(OCC)OC1=CC2=C(C=C1)C(C)=C(Cl)C(=O)O2,3.09e-08,-7.510041521
25,OCC(O)CO,1.73e-08,-7.761953897
26,C=CCN=C=S,0.000241,-3.617982957
27,CCCCCCCCCCCCCCCC(O)=O,2e-05,-4.698970004
28,CCCCCCCCCCCCCCCCCC(O)=O,4.76e-07,-6.322393047
29,NC(N)=O,1.74e-12,-11.75945075
30,CC(O)CO,1.29e-08,-7.88941029
31,CC1=C2C=CC=CC2=C(C)C2=C3C=CC=CC3=CC=C12,3.76e-06,-5.424812155
32,OC1=C(Cl)C(Cl)=C(Cl)C=C1Cl,8.84e-06,-5.053547735
33,CC1=C(Cl)C=CC(O)=C1,2.45e-06,-5.610833916
34,OCC(S)CS,9.39e-09,-8.027334408
35,O=NN1CCOCC1,2.45e-08,-7.610833916
36,OC(=O)CN(CCN(CC(O)=O)CC(O)=O)CC(O)=O,5.77e-16,-15.23882419
37,OCCC1=CC=CC=C1,2.56e-07,-6.591760035
38,OCCS,1.8e-07,-6.744727495
39,CCOCC,0.00123,-2.910094889
40,CNC(=O)CSP(=S)(OC)OC,2.43e-10,-9.614393726
41,NC1=NNC=N1,2.21e-13,-12.65560773
42,CCOC1=CC=C(NC(C)=O)C=C1,2.13e-10,-9.671620397
43,CCOS(C)(=O)=O,2.59e-07,-6.586700236
44,NC1=CC=CC=C1,2.02e-06,-5.694648631
45,NC(N)=S,1.98e-09,-8.70333481
46,COP(=O)(OC)OC=C(Cl)Cl,5.74e-07,-6.241088108
47,CN(C)N=O,1.82e-06,-5.739928612
48,CNC(=O)OC1=C2C=CC=CC2=CC=C1,3.27e-09,-8.485452247
49,CCO,5e-06,-5.301029996
50,OC=O,1.67e-07,-6.777283529
51,CC(O)=O,1e-07,-7.0
52,CCOS(=O)(=O)OCC,6.14e-06,-5.211831629
53,OC(=O)C1=CC=CC=C1,3.81e-08,-7.419075024
54,O=C1NC=CC(=O)N1,1.91e-09,-8.718966633
55,CCCCCC=O,0.000213,-3.671620397
56,CO,4.55e-06,-5.341988603
57,CC(C)O,8.1e-06,-5.091514981
58,CC(C)=O,3.5e-05,-4.455931956
59,ClC(Cl)Cl,0.00367,-2.435333936
60,CS(C)=O,1.51e-09,-8.821023053
61,ClC(Cl)(Cl)C(Cl)(Cl)Cl,0.00389,-2.410050399
62,CN(C)C=O,7.39e-08,-7.131355562
63,OC(=O)C1=C(O)C=CC=C1,7.34e-09,-8.13430394
64,CCCO,7.41e-06,-5.130181792
65,CCCCO,8.81e-06,-5.055024092
66,CCCCCO,1.3e-05,-4.886056648
67,C1=CC=CC=C1,0.00555,-2.255707017
68,CC(Cl)(Cl)Cl,0.0172,-1.764471553
69,COC1=CC=C(C=C1)C(C1=CC=C(OC)C=C1)C(Cl)(Cl)Cl,2.03e-07,-6.692503962
70,ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,6.6e-06,-5.180456064
71,ClC(Cl)=C(C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1,4.16e-05,-4.380906669
72,NC1=NC=NC2=C1N=CN2,7.7e-15,-14.11350927
73,C,0.6576,-0.182038195
74,CBr,0.00734,-2.13430394
75,CC,0.4995,-0.301464507
76,C=C,0.228,-0.642065153
77,C#C,0.0217,-1.663540266
78,CCl,0.00882,-2.054531415
79,CI,0.00526,-2.279014256
80,CN,1.11e-05,-4.954677021
81,C#N,0.000133,-3.876148359
82,CS,0.003124,-2.505288975
83,BrCBr,0.000822,-3.085128182
84,CCBr,0.0074,-2.13076828
