,SMILES,LogKmHL
0,ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1.93
1,c1c2ccccc2c2ccc3cccc4ccc1c2c34,0.05
2,ClC(Cl)C(c1ccccc1Cl)c1ccc(Cl)cc1,1.65
3,c1c2c3ccccc3ccc2cc2c3ccccc3ccc21,0.21
4,Cc1cc(ccc1SC)OP(=S)(OC)OC,-0.36
5,ClC(Cl)(Cl)Cl,-1.19
6,CCOP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OCC,-0.41
7,c1c2c3ccccc3ccc2cc2ccccc21,0.02
8,ClC1CC2C(C1Cl)C3(Cl)C(=C(Cl)C2(Cl)C3(Cl)Cl)Cl,2.2575
9,C(C(C(C(C1Cl)Cl)Cl)Cl)(C1Cl)Cl,1.4925
10,Cc1cc(O)ccc1Cl,-1.28
11,O(CC)CC,-0.7
12,CNC(=O)CSP(=S)(OC)OC,-1.01
13,"ClC1(Cl)[C@@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@H]54)[C@@H]3[C@]1(Cl)C(Cl)=C2Cl |o1:3,5,6,8,9,11,12,13|",1.645
14,CC(=O)Nc1ccc(cc1)OCC,-0.55
15,Nc1ccccc1,-0.78
16,CNC(=O)Oc1cccc2ccccc21,-1.18
17,ClC(Cl)Cl,-0.76
18,ClC(Cl)(Cl)C(Cl)(Cl)Cl,0.76
19,CC(Cl)(Cl)Cl,-1.39
20,ClC(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,2.44
21,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,1.71
22,ClCBr,-0.74
23,ClCCl,-0.51
24,BrC(Br)Br,-0.7
25,C=C(Cl)Cl,-0.72
26,CC(C)(C)O,-1.13
27,ClC1(Cl)C2(Cl)C3C=CC(Cl)C3C1(Cl)C(Cl)=C2Cl,1.45
28,c(cccc1)(c1)C(c(cccc2)c2)(c(cccc3)c3)Cl,-0.15
29,O=P(Oc(c(ccc1)C)c1)(Oc(c(ccc2)C)c2)Oc(c(ccc3)C)c3,0.5
30,CCOP(=O)(OCC)OCC,-1.09
31,CCCCC(COP(=O)(OCC(CCCC)CC)OCC(CCCC)CC)CC,-0.29
32,CC1CC(C)(C)CC(=O)C=1,-1.29
33,CC(C)(C)OOC(C)(C)CCC(C)(C)OOC(C)(C)C,0.77
34,CC(=C)C=C,-0.61
35,CC(Cl)CCl,-1.06
36,ClCC(Cl)Cl,-1.01
37,ClC=C(Cl)Cl,-0.41
38,ClC(Cl)C(Cl)Cl,-0.67
39,CC(C)[N+]([O-])=O,-1.2
40,CC1(C)C2CC(CC2)C1=C,0.96
41,Oc(ccc(c1)C(c(ccc(O)c2)c2)(C)C)c1,0.27
42,CC(C)(OOC(C)(C)c1ccccc1)c1ccccc1,-0.01
43,O=C1c2cccc3cccc(c32)-c2ccccc21,-0.69
44,O=C1c2cccc(Cl)c2C(=O)c2ccccc12,-0.23
45,Nc1cccc2c1C(=O)c1ccccc1C2=O,-0.59
46,[O-][N+](=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,-0.17
47,CC(=C)[C@H]1Cc2c3O[C@@H]4COc5cc(OC)c(cc5[C@@H]4C(=O)c3ccc2O1)OC,-0.59
48,c1ccccc1-c1ccccc1-c1ccccc1,0.86
49,CCCCOC(=O)c1ccccc1C(=O)OCCCC,-0.4
50,c1cc2ccccc2c2ccccc21,0.7
51,c(c(c(c(c1Br)Br)Br)Br)(c1Br)CC,0.02
52,O=C(OCc(cccc1)c1)c(c(ccc2)C(=O)OCCCC)c2,-1.03
53,O=NN(c1ccccc1)c1ccccc1,-0.91
54,C1c2ccccc2-c2ccccc21,0.7
55,c1cccc2[nH]c3ccccc3c21,0.06
56,Clc1c(Cl)cccc1Cl,0.92
57,ClC(Cl)=C(Cl)C(Cl)=C(Cl)Cl,2.07
