,SMILES,Kow
0,C=O,0.35
1,CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3[C@@H](O)C[C@]12C,2.19
2,[H][C@@]12CC[C@](O)(C(=O)COC(C)=O)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)CC[C@]12C,2.1
3,CCC1(C(=O)NC(=O)NC1=O)C1=CC=CC=C1,1.47
4,CO[C@]12[C@H]3N[C@H]3CN1C1=C([C@H]2COC(N)=O)C(=O)C(N)=C(C)C1=O,-0.4
5,CCC1(CC)C(=O)NC(=O)N(C)C1=O,1.15
6,CCC1(NC(=O)N(C)C1=O)C1=CC=CC=C1,1.69
7,ClCCN(CCCl)P1(=O)NCCCO1,0.63
8,CC(O)C(O)=O,-0.72
9,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2C(=O)CO,1.94
10,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,1.61
11,C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)CO,1.62
12,C[C@]12CC[C@H]3[C@@H](CCC4=C3C=CC(O)=C4)[C@@H]1C[C@@H](O)[C@@H]2O,2.45
13,[H][C@@]12CC[C@H](O)[C@@]1(C)CC[C@]1([H])C3=CC=C(O)C=C3CC[C@@]21[H],4.01
14,ClC1=CC=C(C=C1)C(C1=CC=C(Cl)C=C1)C(Cl)(Cl)Cl,6.91
15,OC(=O)C1=C(Cl)C=CC=C1Cl,2.23
16,C1=CC2=CC3=CC=C4C=CC=C5C=CC(=C2C=C1)C3=C45,6.13
17,CCCCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1,3.16
18,O=C1N(C2CCC(=O)NC2=O)C(=O)C2=CC=CC=C12,0.33
19,COC(=O)[C@@H]1[C@H]2CC[C@@H](C[C@@H]1OC(=O)C1=CC=CC=C1)N2C,2.3
20,CCN(CC)C(=O)[C@H]1CN(C)[C@@H]2CC3=CNC4=CC=CC(=C34)C2=C1,2.95
21,S=C1NC=NC2=C1N=CN2,0.01
22,CNCCCN1C2=C(CCC3=C1C=CC=C3)C=CC=C2,4.9
23,CN(C)CCC=C1C2=CC=CC=C2CCC2=C1C=CC=C2,4.92
24,CN(C)CCCN1C2=CC=CC=C2CCC2=CC=CC=C12,4.8
25,CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1,5.9
26,CN(C)CCCN1C2=C(SC3=C1C=C(Cl)C=C3)C=CC=C2,5.41
27,[H][C@]12SCC(C[N+]3=CC=CC=C3)=C(N1C(=O)[C@H]2NC(=O)CC1=CC=CS1)C([O-])=O,-1.62
28,NCCC1=CNC2=CC=C(O)C=C12,0.21
29,O=C1NC(=O)C(=O)C(=O)N1,-1.84
30,CC(=O)OC1=C(C=CC=C1)C(O)=O,1.19
31,OC(=O)C1=CC(Cl)=CC=C1Cl,2.82
32,[H][C@@]1(OC(=O)C(O)=C1O)[C@@H](O)CO,-1.85
33,CC1=CC(O)=C(C=C1)C(O)=O,2.99
34,CC(=O)NC1=CC(O)=C(C=C1)C(O)=O,1.62
35,CC1=CN([C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)NC1=O,-0.93
36,OC[C@H]1O[C@H](C[C@@H]1O)N1C=C(F)C(=O)NC1=O,-1.16
37,Cl.CN[C@@H](C)[C@H](O)C1=CC=CC=C1,-2.45
38,OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C=O,-3.24
39,CCCCOCCOCCOCC1=CC2=C(OCO2)C=C1CCC,4.75
