,SMILES,LKoc,LogKoc
0,ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,5.31,0.725094521
1,c1c2ccccc2c2ccc3cccc4ccc1c2c34,5.95,0.774516966
2,[O-][N+](=O)c1cc(Cl)c(cc1)NC(=O)c1cc(Cl)ccc1O,3.35,0.525044807
3,CC(=O)Nc1ccc(cc1)OC,1.4,0.146128036
4,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,1.9,0.278753601
5,c1c2c3ccccc3ccc2cc2c3ccccc3ccc21,6.22,0.793790385
6,CC(=O)Nc1cc2Cc3ccccc3-c2cc1,3.14,0.496929648
7,CN1CCC[C@H]1c1c[n]ccc1,2.01,0.303196057
8,NC(=O)c1ccccc1,1.46,0.164352856
9,Cc1cc(ccc1SC)OP(=S)(OC)OC,3.18,0.50242712
10,CC1=CC(=O)NC(=S)N1,2.14,0.330413773
11,ClC(Cl)(Cl)Cl,1.85,0.267171728
12,CCOP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OCC,3.2,0.505149978
13,Cc1ccc2cc3c(ccc4ccccc43)c3CCc1c32,6.1,0.785329835
14,CC/C(/c1ccc(O)cc1)=C(/CC)\c1ccc(O)cc1,4.14,0.617000341
15,c1c2c3ccccc3ccc2cc2ccccc21,5.3,0.72427587
16,NC(N)=O,0.15,-0.823908741
17,CC(O)CO,0.36,-0.443697499
18,ClC1(Cl)C2(Cl)C3CC(Cl)C(Cl)C3C1(Cl)C(Cl)=C2Cl,4.78,0.679427897
19,c(c(c(c(c1)ccc2)c2)c(c(c3ccc4)c4)C)(c3C)c1,5.37,0.729974286
20,"Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl |&1:1,2,4,6,8,10|",3.17,0.501059262
21,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,3.35,0.525044807
22,Nc1ccc(cc1)/N=N/c1ccccc1,2.79,0.445604203
23,CN(C)c1ccc(cc1)N=Nc1ccccc1,3.87,0.587710965
24,OCCc1ccccc1,1.5,0.176091259
25,CC(N)=O,0.7,-0.15490196
26,CNC(=O)CSP(=S)(OC)OC,1.2,0.079181246
27,"ClC1(Cl)[C@@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@H]54)[C@@H]3[C@]1(Cl)C(Cl)=C2Cl |o1:3,5,6,8,9,11,12,13|",4.08,0.610660163
28,Nc1[n]c[nH][n]1,1.25,0.096910013
29,Nc1ccccc1,1.6,0.204119983
30,CC(N)=S,0.78,-0.107905397
31,NC(N)=S,0.85,-0.070581074
32,COP(=O)(OC=C(Cl)Cl)OC,1.67,0.222716471
33,O=C(Oc(c(c(ccc1)cc2)c1)c2)NC,2.4,0.380211242
34,Cc1cc(ccc1)NC(N)=O,1.56,0.193124598
35,NC(=O)Nc1ccccc1,1.35,0.130333768
36,CCO,0.2,-0.698970004
37,CC(O)=O,0.0,#NUM!
38,OC(=O)c1ccccc1,1.5,0.176091259
39,O=C1NC=C(C(=O)N1)N(CCCl)CCCl,1.46,0.164352856
40,CO,0.44,-0.356547324
41,ClC(Cl)Cl,1.6,0.204119983
42,CCCO,0.48,-0.318758763
43,CCCCO,0.5,-0.301029996
44,CCCCCO,0.7,-0.15490196
45,c1ccccc1,1.75,0.243038049
46,CC(Cl)(Cl)Cl,1.95,0.290034611
47,COc1ccc(cc1)C(c1ccc(cc1)OC)C(Cl)(Cl)Cl,4.9,0.69019608
48,ClC(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,4.21,0.624282096
49,ClC(Cl)=C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,4.82,0.683047038
50,CBr,1.34,0.127104798
51,ClCCl,1.44,0.158362492
52,S=C=S,2.34,0.369215857
53,BrC(Br)Br,2.06,0.31386722
54,ClC(Cl)Br,1.78,0.250420002
55,CC(Cl)Cl,1.48,0.170261715
56,C=C(Cl)Cl,1.81,0.257678575
57,CC(Cl)(Cl)C(O)=O,0.4,-0.397940009
58,OC(=O)C(Cl)(Cl)Cl,0.3,-0.522878745
59,[O-][N+](=O)C(Cl)(Cl)Cl,1.79,0.252853031
60,ClC1(Cl)C2(Cl)C3C=CC(Cl)C3C1(Cl)C(Cl)=C2Cl,4.38,0.641474111
61,CCCCSP(=O)(SCCCC)SCCCC,3.7,0.568201724
62,CC1CC(C)(C)CC(=O)C=1,1.4,0.146128036
63,CC(Cl)CCl,1.67,0.222716471
64,ClCC(Cl)Cl,1.89,0.276461804
65,ClC=C(Cl)Cl,2.0,0.301029996
66,C=CC(N)=O,1.7,0.230448921
67,ClC(Cl)C(Cl)Cl,1.9,0.278753601
68,CC(=O)CC(C1=C(O)c2ccccc2OC1=O)c1ccccc1,2.96,0.471291711
69,Cc1ccc2c(c1N)C(=O)c1ccccc1C2=O,3.9,0.591064607
70,[O-][N+](=O)c1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,3.98,0.599883072
71,C1Cc2cccc3cccc1c23,3.59,0.555094449
72,CC(=C)[C@H]1Cc2c3O[C@@H]4COc5cc(OC)c(cc5[C@@H]4C(=O)c3ccc2O1)OC,4.0,0.602059991
73,O=C1c2ccccc2C(=O)c2ccccc12,3.57,0.552668216
74,CCOC(=O)c1ccccc1C(=O)OCC,1.84,0.264817823
75,O=C(OCC(C)C)c(c(ccc1)C(=O)OCC(C)C)c1,3.14,0.496929648
76,CCOC(=O)COC(=O)c1ccccc1C(=O)OCC,2.54,0.404833717
77,CCCCOC(=O)c1ccccc1C(=O)OCCCC,3.14,0.496929648
78,CCCCCCOC(=O)c1ccccc1C(=O)OCCCCCC,4.72,0.673941999
79,[Br-].[Br-].C1C[n+]2ccccc2-c2cccc[n+]21,2.7,0.431363764
80,c1cc2ccccc2c2ccccc21,4.35,0.638489257
81,c1cccc2c3ccc[n]c3ccc21,4.64,0.666517981
82,c(c(c(c(c1Br)Br)Br)Br)(c1Br)CC,4.92,0.691965103
83,OC(=O)Cc1c(Cl)c(Cl)ccc1Cl,1.8,0.255272505
84,O=C1OC(=O)c2ccccc12,1.56,0.193124598
85,CCCCOC(=O)c1ccccc1C(=O)OCc1ccccc1,3.72,0.57054294
86,O=C(OCC(=O)OCCCC)c(c(ccc1)C(=O)OCCCC)c1,3.7,0.568201724
87,O=NN(c1ccccc1)c1ccccc1,3.08,0.488550717
88,S=P(OC)(OC)SCN1N=Nc2ccccc2C1(=O),2.28,0.357934847
89,C1c2ccccc2-c2ccccc21,3.7,0.568201724
90,c1cccc2[nH]c3ccccc3c21,3.4,0.531478917
91,NC(=O)Cc1cccc2ccccc21,2.0,0.301029996
92,O=C(O)Cc(c(c(ccc1)cc2)c1)c2,2.2,0.342422681
93,Clc1c(Cl)cccc1Cl,3.33,0.522444234
94,Oc1c(Cl)c(Cl)c(Cl)c(Cl)c1Cl,4.3,0.633468456
95,Oc1c(Cl)cc(Cl)cc1Cl,3.03,0.481442629
96,[O-][N+](=O)c1ccc(O)cc1C(F)(F)F,2.11,0.324282455
97,CCC(C)c1cc(cc(c1O)[N+]([O-])=O)[N+]([O-])=O,2.7,0.431363764
98,O=C(O)c(c(ccc1)C(=O)O)c1,1.07,0.029383778
99,COc1ccccc1O,1.56,0.193124598
100,Cc1cccc2ccccc21,3.36,0.526339277
101,Oc1cccc2ccccc21,2.72,0.434568904
102,O=C(c(ccc(N(C)C)c1)c1)c(ccc(N(C)C)c2)c2,2.21,0.344392274
103,OC(c1ccccc1)c1ccccc1,2.34,0.369215857
104,COc1ccccc1OC,2.03,0.307496038
105,C1CCCC2CCCCC21,3.67,0.564666064
106,c1cccc2ccccc21,2.96,0.471291711
107,c1cccc2[n]cccc21,3.1,0.491361694
108,Cc1cc2ccccc2cc1,3.6,0.556302501
109,CCN(CC)c1ccccc1,2.08,0.318063335
110,CN(C)CCN(Cc1ccc[s]1)c1cccc[n]1,2.87,0.457881897
