,SMILES,WS_value,LogWS
0,C=O,400000.0,5.602059991
1,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,77.75,1.890700398
2,CC(=O)OCC(=O)[C@@]1(O)CCC2C3CCC4=CC(=O)CC[C@]4(C)C3[C@@H](O)C[C@]12C,14.1,1.149219113
3,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3C(=O)C[C@]12C,20.0,1.301029996
4,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O,1110.0,3.045322979
5,CN1C(=O)NC(=O)C(CC)(CC)C1=O,1980.0,3.29666519
6,O=P1(NCCCO1)N(CCCl)CCCl,40000.0,4.602059991
7,CC(O)C(O)=O,1000000.0,6.0
8,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@]2(C)[C@H](CC[C@H]21)C(=O)CO,199.0,2.298853076
9,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,320.0,2.505149978
10,C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,223.0,2.348304863
11,ClC(Cl)(Cl)C(c1ccc(Cl)cc1)c1ccc(Cl)cc1,0.0055,-2.259637311
12,OC(=O)c1c(Cl)c(Cl)ccc1Cl,7700.0,3.886490725
13,c1c2ccccc2c2ccc3cccc4ccc1c2c34,0.00162,-2.790484985
14,CCCCC1C(=O)N(c2ccccc2)N(c2ccccc2)C1=O,34.0,1.531478917
15,COC(=O)[C@@H]1C2CCC(C[C@@H]1OC(=O)c1ccccc1)[N@@]2C,1800.0,3.255272505
16,CNCCCN1c2ccccc2CCc2ccccc12,58.6,1.767897616
17,CN(C)CCC=C1c2ccccc2CCc2ccccc21,9.71,0.98721923
18,CN(C)CCCN1c2ccccc2CCc2ccccc12,18.23,1.260786669
19,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc12,2.55,0.40654018
20,[O-][N+](=O)c1cc(Cl)c(cc1)NC(=O)c1cc(Cl)ccc1O,1.6,0.204119983
21,CC(=O)Oc1ccccc1C(O)=O,4600.0,3.662757832
22,O[C@@H](CO)[C@H]1OC(=O)C(O)=C1O,400000.0,5.602059991
23,OC(=O)c1ccc(Cl)cc1Cl,479.5,2.680788612
24,O=C1NC=C(F)C(=O)N1,11100.0,4.045322979
25,[O-][N+](=O)c1cc(ccc1O)[N+]([O-])=O,2790.0,3.445604203
26,CN1[C@@H]2C[C@H](C[C@H]1[C@@H]1O[C@@H]12)OC(=O)[C@H](CO)c1ccccc1,100000.0,5.0
27,OC(=O)c1cc(Cl)cc(Cl)c1,147.0,2.167317335
28,OC(=O)c1cc(Cl)c(Cl)cc1,61.1,1.78604121
29,CN1[C@@H]2C[C@H](C[C@H]1CC2)OC(=O)C(CO)c1ccccc1,2200.0,3.342422681
30,NCCc1ccc(O)cc1,10400.0,4.017033339
31,CCOC(N)=O,480000.0,5.681241237
32,C[C@]12CC[C@@H]3[C@H]4CCC(=O)C=C4CC[C@H]3[C@@H]1CC[C@]2(C#C)OC(C)=O,5.345,0.72794771
33,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]2CC[C@@]3(C)[C@@H](CC[C@]43CCC(=O)O4)[C@@H]21,22.0,1.342422681
34,CC(=O)OCC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@H]3[C@@H](O)C[C@]12C,17.2,1.235528447
35,CCC1(C2CCCCC=2)C(=O)NC(=O)NC1=O,1600.0,3.204119983
36,C=CCC1(CC=C)C(=O)NC(=O)NC1=O,1810.0,3.257678575
37,[O-][N+](=O)C(Br)(CO)CO,250000.0,5.397940009
38,NC1(CCCC1)C(O)=O,50000.0,4.698970004
39,CC(C)(S)[C@@H](N)C(O)=O,111000.0,5.045322979
40,COP(=O)(OC)C(O)C(Cl)(Cl)Cl,120000.0,5.079181246
41,OC1(CCN(CCCC(=O)c2ccc(F)cc2)CC1)c1ccc(Cl)cc1,14.0,1.146128036
42,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2C(=O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)CO,280.0,2.447158031
43,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CCC2=O,30.0,1.477121255
44,ClC(Cl)C(c1ccccc1Cl)c1ccc(Cl)cc1,0.1,-1.0
45,C[C@]12CC[C@H]3[C@@H](CC[C@H]4C[C@H](O)CC[C@@]43C)[C@@H]1CCC2=O,12.0,1.079181246
46,C[C@]12CC[C@H]3[C@@H](CC=C4C[C@@H](O)CC[C@@]43C)[C@@H]1CCC2=O,63.45,1.802431626
47,c1c2c3ccccc3ccc2cc2c3ccccc3ccc21,0.00249,-2.603800653
48,CC(=O)Nc1cc2Cc3ccccc3-c2cc1,5.29,0.723455672
49,CN1CCC[C@H]1c1c[n]ccc1,1000000.0,6.0
50,NS(=O)(=O)c1cc(C(O)=O)c(cc1Cl)NCc1ccco1,73.1,1.863917377
51,NNC(=O)c1cc[n]cc1,140000.0,5.146128036
52,CCN(CC)N=O,106000.0,5.025305865
53,NC(=O)c1ccccc1,13500.0,4.130333768
54,OC(=O)c1cc[n]cc1,5200.0,3.716003344
55,Cc1cc(ccc1SC)OP(=S)(OC)OC,7.5,0.875061263
56,[O-][N+](=O)OC(CO[N+]([O-])=O)CO[N+]([O-])=O,1380.0,3.139879086
57,NCCCC(O)=O,1300000.0,6.113943352
58,ClC(Cl)(Cl)Cl,793.0,2.899273187
59,C[C@]12C3CCC(O3)[C@@]1(C)C(=O)OC2=O,30.0,1.477121255
60,CN1C(O)=NC(=O)C(C)(C2CCCCC=2)C1=O,435.0,2.638489257
61,CCOP(=S)(Oc1ccc(cc1)[N+]([O-])=O)OCC,11.0,1.041392685
62,NCC(O)=O,249000.0,5.396199347
63,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,8.73,0.941014244
64,Cc1ccc2cc3c(ccc4ccccc43)c3CCc1c32,0.0029,-2.537602002
65,CC/C(/c1ccc(O)cc1)=C(/CC)\c1ccc(O)cc1,12.0,1.079181246
66,c1c2c3ccccc3ccc2cc2ccccc21,0.0094,-2.026872146
67,CC1c2ccc(cc2OC(=O)C=1Cl)OP(=S)(OCC)OCC,1.5,0.176091259
68,[O-][N+](=O)c1ccc(cc1)[C@@H](O)[C@@H](CO)NC(=O)C(Cl)Cl,2500.0,3.397940009
69,OC(CO)CO,1000000.0,6.0
70,N[C@@H](CC(O)=O)C(O)=O,5360.0,3.72916479
71,NC(=O)CC[C@H](N)C(O)=O,41300.0,4.615950052
72,N[C@@H](CCC(O)=O)C(O)=O,8570.0,3.932980822
73,C=CCN=C=S,2000.0,3.301029996
74,CCCCCCCCCCCCCCCC(O)=O,0.04,-1.397940009
75,NC(N)=O,545000.0,5.736396502
76,CN(C)N,1000000.0,6.0
77,CC(C)(O)C(Cl)(Cl)Cl,8000.0,3.903089987
78,O=C1C[C@@H]2OCC=C3CN4CC[C@]56[C@H]([C@H]2[C@H]3C[C@@H]54)N1c1ccccc61,160.0,2.204119983
79,O=C1NC(=O)C(N1)(c1ccccc1)c1ccccc1,32.0,1.505149978
80,CCOC(=O)C1(CCN(C)CC1)c1ccccc1,3215.0,3.507180977
81,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,603.0,2.780317312
82,CCC1(CC)C(=O)NC(=O)NC1=O,7460.0,3.872738827
83,O[C@H]1[C@H](O[C@H](CO)[C@@H](O)[C@@H]1O)O[C@]1(CO)O[C@H](CO)[C@@H](O)[C@@H]1O,2100000.0,6.322219295
84,CCCC(C)(COC(N)=O)COC(N)=O,3300.0,3.51851394
85,CC(O)CO,1000000.0,6.0
86,O=C1CCO1,370000.0,5.568201724
87,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc43)[C@@H]1CC[C@@]2(O)C#C,11.29,1.052693942
88,Cc1cc(C)[n]c(NS(=O)(=O)c2ccc(N)cc2)[n]1,1500.0,3.176091259
89,ClC1(Cl)C2(Cl)C3CC(Cl)C(Cl)C3C1(Cl)C(Cl)=C2Cl,0.056,-1.251811973
90,CC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,8.81,0.944975908
91,CCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,1.48,0.170261715
92,Cc1c2ccc3ccccc3c2c(C)c2ccccc12,0.061,-1.214670165
93,CN1C(=O)c2c([n]c[n]2C)N(C)C1=O,21600.0,4.334453751
94,CN(C)C1C(=O)N(c2ccccc2)N(C)C=1C,54400.0,4.7355989
95,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@]2(C)O,33.9,1.530199698
96,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@@]43C)[C@@H]1CC[C@@H]2O,23.4,1.369215857
97,CC1=CC(=O)c2ccccc2C1=O,160.0,2.204119983
98,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1,14.96,1.174931594
99,OCCN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1,28.3,1.451786436
100,CN(C)CCCN1c2ccccc2Sc2ccccc12,14.2,1.152288344
101,CN1C(=O)c2[nH]c[n]c2N(C)C1=O,7360.0,3.866877814
102,Oc1[n]c[n]c2c1[n]c[n]2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,15800.0,4.198657087
103,OC(=O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@@H]21,220.0,2.342422681
104,"Cl[C@@H]1[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@@H](Cl)[C@@H]1Cl |&1:1,2,4,6,8,10|",10.235,1.010087847
105,Oc1c(Cl)cc(Cl)c(Cl)c1Cl,23.0,1.361727836
106,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,722.0,2.858537198
107,NS(=O)(=O)c1cc2c(cc1Cl)N=CNS2(=O)=O,266.0,2.424881637
108,CCN(CC)C(=O)c1ccc[n]c1,1000000.0,6.0
109,O=C1C=Cc2ccccc2N1,1053.0,3.022428371
110,Nc1ccc(cc1)S(=O)(=O)Nc1c[n]c2ccccc2[n]1,7.5,0.875061263
111,CCN(CCOC(=O)c1ccc(N)cc1)CC,9453.0,3.975569658
112,Cc1ccccc1OCC(O)CO,11800.0,4.071882007
113,OCC(S)CS,87000.0,4.939519253
114,CC(=O)Nc1[n][n]c([s]1)S(N)(=O)=O,980.0,2.991226076
115,OC(=O)c1ccc[n]c1,18000.0,4.255272505
116,O=NN1CCOCC1,1000000.0,6.0
117,N[C@@H](Cc1cc(O)c(O)cc1)C(O)=O,5000.0,3.698970004
118,Nc1ccc(cc1)/N=N/c1ccccc1,32.0,1.505149978
119,CN(C)c1ccc(cc1)N=Nc1ccccc1,0.23,-0.638272164
120,OCCc1ccccc1,22200.0,4.346352974
121,N[C@@H](Cc1ccc(O)cc1)C(O)=O,479.0,2.680335513
122,CN1CC(=O)NC1=N,80100.0,4.903632516
123,CCOCC,60400.0,4.781036939
124,NCCCCCC(O)=O,505000.0,5.703291378
125,CNN,1000000.0,6.0
126,CC(N)=O,2250000.0,6.352182518
127,CNC(=O)CSP(=S)(OC)OC,23300.0,4.367355921
128,"ClC1(Cl)[C@@]2(Cl)[C@@H]3[C@@H]4C[C@@H]([C@H]5O[C@H]54)[C@@H]3[C@]1(Cl)C(Cl)=C2Cl |o1:3,5,6,8,9,11,12,13|",0.2225,-0.652669985
129,CN1C(C)=CC(=O)N1c1ccccc1,51900.0,4.715167358
130,OC[C@H]1O[C@@H](Oc2cc(O)cc(O)c2C(=O)CCc2ccc(O)cc2)[C@H](O)[C@@H](O)[C@@H]1O,1000.0,3.0
131,CN(C)C(C)CN1c2ccccc2Sc2ccccc12,15.64,1.194236749
132,CN(C)C[C@@H](C)CN1c2cc(ccc2Sc2ccccc12)OC,20.0,1.301029996
133,[O-][N+](=O)c1c[n]c([s]1)N1CCNC1=O,130.0,2.113943352
134,CC(C)C[C@H](N)C(O)=O,21500.0,4.33243846
135,[O-][N+](=O)c1ccc(cc1)C(O)=O,200.0,2.301029996
136,CC(=O)Nc1ccc(cc1)OCC,766.0,2.88422877
137,CCOS(C)(=O)=O,313000.0,5.495544338
138,Nc1ccccc1,36000.0,4.556302501
139,CC(N)=S,163000.0,5.212187604
140,NC(N)=S,142000.0,5.152288344
141,COP(=O)(OC=C(Cl)Cl)OC,8000.0,3.903089987
142,CN(C)N=O,1000000.0,6.0
143,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CCC2=O,57.82,1.762078087
